Results Table 1


Results Table 2


1,Time,Displacement,Force,Rotation,Torque
,(s),(mm),(mN),(deg),(N-mm)
2,Time,Displacement,Force,Rotation,Torque
,(s),(mm),(mN),(deg),(N-mm)
"","40.2510","33.3734","49321.63239","-9.6543","-46.2933"
"","40.2560","33.4228","49444.21387","-9.6543","-46.3717"
"","40.2610","33.4720","49563.93051","-9.6543","-46.4140"
"","40.2660","33.5211","49683.63953","-9.6543","-46.4493"
"","40.2710","33.5702","49804.40521","-9.6543","-46.4997"
"","40.2750","33.6093","49900.20370","-9.6543","-46.5441"
"","40.2760","33.6191","49923.62976","-9.6543","-46.5543"
"","48.6380","0.0008","-7029.35362","-19.4247","89.6630"
"","48.6430","0.0008","-7020.68567","-19.4247","89.6524"
"","48.6480","0.0009","-7003.41272","-19.4247","89.6417"
"","48.6530","0.0017","-6978.86324","-19.4247","89.6213"
"","48.6580","0.0044","-6950.72603","-19.4247","89.5837"
"","48.6630","0.0107","-6916.50295","-19.4247","89.4875"
"","48.6680","0.0222","-6870.00656","-19.4247","89.3150"
"","48.6730","0.0406","-6799.21532","-19.4247","89.0591"
"","48.6780","0.0665","-6689.83269","-19.4247","88.6864"
"","48.6830","0.0999","-6532.58467","-19.4247","88.1901"
"","48.6880","0.1400","-6329.24700","-19.4247","87.6164"
"","48.6930","0.1855","-6096.25578","-19.4247","86.9861"
"","48.6980","0.2349","-5856.96173","-19.4247","86.3588"
"","48.7030","0.2870","-5634.33409","-19.4247","85.7299"
"","48.7080","0.3404","-5436.92160","-19.4247","85.1143"
"","48.7130","0.3942","-5260.74123","-19.4247","84.5309"
"","48.7180","0.4478","-5098.20700","-19.4247","83.9785"
"","48.7230","0.5008","-4938.39407","-19.4247","83.4663"
"","48.7280","0.5530","-4774.93525","-19.4247","82.9688"
"","48.7330","0.6044","-4609.69162","-19.4247","82.4519"
